ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price,Pins,3DModel,Contributor,JLCPCB Part Class,LCSC Assembly,SMT Type,description,image,link,subpart_no
1,1uF,"C1, C2, C6, C8",C0805,4,CC0805KKX7R9BB105,YAGEO(国巨),LCSC,C91185,0.017,2,C0805_L2.0-W1.3-H1.3,LCEDA_Lib,,,,,,https://item.szlcsc.com/373011.html,
2,10k,"R2, R3, R6, R15, R16, R17, R18, R19",R0805,8,0805W8F1002T5E,UNI-ROYAL(厚声),LCSC,C17414,0.001,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,,,,https://item.szlcsc.com/142685.html,
3,30k,R9,R0805,1,0805W8F1002T5E,UNI-ROYAL(厚声),LCSC,C17414,0.001,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,,,,https://item.szlcsc.com/142685.html,
4,AP2210K-ADJTRG1,"U1, U8",SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,2,AP2210K-ADJTRG1,Diodes Incorporated,LCSC,C507874,0.125,5,SOT-23-5_L2.9-W1.6-H1.1-LS2.8-P0.95,LCSC,,,,,,https://item.szlcsc.com/236104.html,
5,1N4148W,"D1, D2, D5, D8",SOD-123FL_L2.6-W1.6-LS3.4-RD,4,1N4148W,Tak Cheong,LCSC,C129216,0.02,2,SOD-123FL_L2.8-W1.8-H1.1-LS3.6,LCEDA_Lib,,,,,,https://atta.szlcsc.com/upload/public/pdf/source/20181106/C323857_0FA3C8BFA639C8DE43C1526AE6096176.pdf,
6,X4611WV-04I-C28D40,"H1, H2, H3, H4, H5, H6, H7, H8, H9, H10, H11, H13, H17, H19",HDR-TH_4P-P2.00-V-M,14,X4611WV-04I-C28D40,XKB Connectivity,LCSC,C706995,0.065,4,HDR-TH_4P-P2.00-M-LI-1X4P,LCSC,,,,,,https://item.szlcsc.com/562479.html,
7,68nF,"C12, C32",C0805,2,UMK212B7683KGHT,TAIYO YUDEN(太诱),LCSC,C650955,0.068,2,C0805_L2.0-W1.3-H1.3,LCEDA_Lib,,,,,,https://item.szlcsc.com/373011.html,
8,X4611WV-05I-C28D40,"H12, H14, H15, H16, H18",HDR-TH_5P-P2.00-V-M,5,X4611WV-05I-C28D40,XKB Connectivity,LCSC,C706994,0.065,5,HDR-TH_5P-P2.00-M-LI-1X5P,LCSC,,,,,,https://atta.szlcsc.com/upload/public/pdf/source/20200518/C541858_7610F54454E936EFCDE06B655DF7C837.pdf,
9,100k,"R1, R4, R7, R8, R10, R12, R14",R0805,7,0805W8F1003T5E,UNI-ROYAL(厚声),LCSC,C149504,0.002,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,,,,https://item.szlcsc.com/142685.html,
10,CD40106BM96,U4,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,1,CD40106BM96,TI,LCSC,C38184,0.276,14,SOIC-14_L8.6-W3.9-H1.8-LS6.0-P1.27,winter2015,,Yes,Extend,,//image.lceda.cn/szlcsc/C38184.jpg,https://item.szlcsc.com/7253.html,
11,TL074_SMD,"U6, U7",SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,2,,TI(德州仪器),LCSC,C2057504,0.648,14,SOIC-14_L8.6-W3.9-H1.8-LS6.0-P1.27,rossgrady,,,,,,https://item.szlcsc.com/7253.html,1
12,0.1uF,"C3, C4, C7, C11, C16, C27, C28, C29, C31, C33",C0805,10,CC0805KRX7R9BB104,YAGEO(国巨),LCSC,C49678,0.004,2,C0805_L2.0-W1.3-H1.3,LCEDA_Lib,,,,,,https://item.szlcsc.com/373011.html,
13,47k,"R5, R11",R0805,2,0805W8F4702T5E,UNI-ROYAL(厚声),LCSC,C17713,0.002,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,,,,https://item.szlcsc.com/142685.html,
14,OPA2196IDR,U5,SOIC-8_L5.0-W3.2-P1.27-LS8.3-BL,1,OPA2196IDR,TI(德州仪器),LCSC,C2057972,,8,SOIC-8_L4.9-W3.9-H1.7-LS6.0-P1.27,amsmith1109,,,,,,http://www.ti.com/lit/ds/symlink/opa196.pdf,
15,CD4073BM96,U10,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,1,CD4073BM96,TI(德州仪器),LCSC,C108678,0.267,14,SOIC-14_L8.6-W3.9-H1.8-LS6.0-P1.27,lcsc,Extended Part,,,,,https://lcsc.com/eda_search?q=C108678&%26type=1&ref=editor,
16,1N5819,"D6, D7",SOD-123_FOR-5819,2,1N5819HWQ-7-F,Diodes Incorporated,LCSC,C460770,0.132,2,SOD-123_L2.8-W1.8-LS3.7-RD,LCSC,,,,,,https://item.szlcsc.com/301422.html,
17,Ferrite,"F1, F2",R0805,2,PBY201209T-601Y-N,chilisin(奇力新),LCSC,C108304,0.01,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,,,,https://item.szlcsc.com/142685.html,
18,100pF,"C5, C10",C0805,2,CL21C101JBANNNC,SAMSUNG(三星),LCSC,C1790,0.01,2,C0805_L2.0-W1.3-H1.3,LCEDA_Lib,,,,,,https://item.szlcsc.com/373011.html,
19,10uF,"C9, C30",C0805,2,CL21A106KAYNNNE,SAMSUNG(三星),LCSC,C15850,0.01,2,C0805_L2.0-W1.3-H1.3,LCEDA_Lib,,,,,,https://item.szlcsc.com/373011.html,
20,CD4053BM96,"U11, U12",SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,2,CD4053BM96,TI(德州仪器),LCSC,C6742,0.31,16,SOIC-16_L9.9-W3.9-H1.8-LS6.0-P1.27,lcsc,Extended Part,,,,,http://datasheet.octopart.com/MC14076BDR2G-ON-Semiconductor-datasheet-608107.pdf,
21,CD4028BM96,U2,SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,1,CD4028BM96,TI,LCSC,C131484,0.304,16,SOIC-16_L9.9-W3.9-H1.8-LS6.0-P1.27,官方封装库,,Yes,Extend,,,https://item.szlcsc.com/241229.html,
22,CD4029BCSJ,U3,SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,1,CD4029BM96,TI(德州仪器),LCSC,C2675479,0.388,16,SOIC-16_L9.9-W3.9-H1.8-LS6.0-P1.27,官方封装库,,,,Presettable BinaryDecade UpDown Counter,,https://item.szlcsc.com/241229.html,
23,IDC Box 2.54mm 2X5P,P1,EURO_PWR_HEADER_LOCK,1,IDC Box 2.54mm 2X5P,BOOMELE,LCSC,C5665,0.071,10,,rossgrady,,,,,//image.lceda.cn/szlcsc/C5665.jpg,,
